Reporting_Year/Année,PROVINCE,Population
2000,NL,2116046
2001,NL,2092160
2002,NL,2080388
2003,NL,2074982
2004,NL,2070803
2005,NL,2060109
2006,NL,2044431
2007,NL,2044431
2008,NL,2047222
2009,NL,2064633
2010,NL,2086336
2011,NL,2098761
2012,NL,2104965
2013,NL,2109214
2014,NL,2111615
2015,NL,2113211
2016,NL,2117940
2017,NL,2119770
2018,NL,2115995
2019,NL,2112404
2020,NL,2108894
2021,NL,2107448
2022,NL,2122716
2000,PE,545601
2001,PE,546419
2002,PE,547715
2003,PE,548864
2004,PE,550522
2005,PE,551681
2006,PE,551522
2007,PE,551522
2008,PE,554349
2009,PE,558773
2010,PE,565945
2011,PE,574482
2012,PE,577384
2013,PE,575733
2014,PE,576075
2015,PE,577793
2016,PE,585620
2017,PE,596500
2018,PE,607792
2019,PE,621107
2020,PE,634267
2021,PE,645435
2022,PE,665983
2000,NS,3737165
2001,NS,3732173
2002,NS,3739053
2003,NS,3747695
2004,NS,3757164
2005,NS,3753877
2006,NS,3750725
2007,NS,3750725
2008,NS,3744317
2009,NS,3753758
2010,NS,3768191
2011,NS,3776743
2012,NS,3773216
2013,NS,3761942
2014,NS,3753266
2015,NS,3749155
2016,NS,3769051
2017,NS,3804201
2018,NS,3844244
2019,NS,3897795
2020,NS,3948656
2021,NS,3990637
2022,NS,4085688
2000,NB,3002098
2001,NB,2998625
2002,NB,2996208
2003,NB,2997423
2004,NB,2997205
2005,NB,2993436
2006,NB,2983916
2007,NB,2983916
2008,NB,2987455
2009,NB,2998562
2010,NB,3010623
2011,NB,3021415
2012,NB,3030592
2013,NB,3032520
2014,NB,3035132
2015,NB,3037046
2016,NB,3051138
2017,NB,3064197
2018,NB,3080143
2019,NB,3105630
2020,NB,3130812
2021,NB,3158486
2022,NB,3226906
2000,QC,29413171
2001,QC,29564920
2002,QC,29741948
2003,QC,29921596
2004,QC,30119388
2005,QC,30307200
2006,QC,30504506
2007,QC,30504506
2008,QC,31013064
2009,QC,31332458
2010,QC,31674465
2011,QC,31975214
2012,QC,32203438
2013,QC,32401297
2014,QC,32563230
2015,QC,32685961
2016,QC,32869479
2017,QC,33136925
2018,QC,33498940
2019,QC,33882723
2020,QC,34191236
2021,QC,34282591
2022,QC,34647674
2000,ON,46629887
2001,ON,47458309
2002,ON,48248236
2003,ON,48883717
2004,ON,49468901
2005,ON,50027136
2006,ON,50568747
2007,ON,50568747
2008,ON,51466512
2009,ON,51937049
2010,ON,52474818
2011,ON,52994176
2012,ON,53504449
2013,ON,53986828
2014,ON,54425576
2015,ON,54795768
2016,ON,55415696
2017,ON,56227308
2018,ON,57190748
2019,ON,58183890
2020,ON,58989922
2021,ON,59361621
2022,ON,60468896
2000,MB,4585797
2001,MB,4601735
2002,MB,4621518
2003,MB,4648314
2004,MB,4685874
2005,MB,4710676
2006,MB,4729083
2007,MB,4729083
2008,MB,4785367
2009,MB,4826154
2010,MB,4876004
2011,MB,4927011
2012,MB,4988605
2013,MB,5047070
2014,MB,5102182
2015,MB,5162661
2016,MB,5244675
2017,MB,5327541
2018,MB,5401657
2019,MB,5470320
2020,MB,5518504
2021,MB,5560551
2022,MB,5640202
2000,SK,4033910
2001,SK,4004660
2002,SK,3989712
2003,SK,3985078
2004,SK,3988007
2005,SK,3977625
2006,SK,3969149
2007,SK,3969149
2008,SK,4063607
2009,SK,4130129
2010,SK,4197243
2011,SK,4256064
2012,SK,4321917
2013,SK,4385987
2014,SK,4441291
2015,SK,4482671
2016,SK,4534433
2017,SK,4583725
2018,SK,4621754
2019,SK,4654810
2020,SK,4671813
2021,SK,4670562
2022,SK,4710737
2000,AB,11984127
2001,AB,12206489
2002,AB,12475206
2003,AB,12706015
2004,AB,12932754
2005,AB,13241908
2006,AB,13644040
2007,AB,13644040
2008,AB,14331473
2009,AB,14671068
2010,AB,14896628
2011,AB,15115972
2012,AB,15437211
2013,AB,15849175
2014,AB,16264328
2015,AB,16552835
2016,AB,16756766
2017,AB,16931279
2018,AB,17144396
2019,AB,17394060
2020,AB,17617921
2021,AB,17725442
2022,AB,18014916
2000,BC,16148510
2001,BC,16283852
2002,BC,16390149
2003,BC,16484126
2004,BC,16609243
2005,BC,16765738
2006,BC,16946382
2007,BC,16946382
2008,BC,17371829
2009,BC,17619129
2010,BC,17844271
2011,BC,18003776
2012,BC,18257807
2013,BC,18517939
2014,BC,18818113
2015,BC,19076375
2016,BC,19386511
2017,BC,19700026
2018,BC,20039538
2019,BC,20400716
2020,BC,20676585
2021,BC,20874255
2022,BC,21365117
2000,YT,121602
2001,YT,120510
2002,YT,120907
2003,YT,123161
2004,YT,125863
2005,YT,127659
2006,YT,128897
2007,YT,128897
2008,YT,132098
2009,YT,134748
2010,YT,137640
2011,YT,140730
2012,YT,143950
2013,YT,145379
2014,YT,147267
2015,YT,149852
2016,YT,153054
2017,YT,157147
2018,YT,160846
2019,YT,164142
2020,YT,167379
2021,YT,170689
2022,YT,174615
2000,NT,162133
2001,NT,163274
2002,NT,166028
2003,NT,169678
2004,NT,173034
2005,NT,173818
2006,NT,172806
2007,NT,172806
2008,NT,173472
2009,NT,172367
2010,NT,172741
2011,NT,173597
2012,NT,174588
2013,NT,175050
2014,NT,175409
2015,NT,176955
2016,NT,178205
2017,NT,178578
2018,NT,178687
2019,NT,178189
2020,NT,177997
2021,NT,178283
2022,NT,178762
2000,NU,109554
2001,NU,112039
2002,NU,114386
2003,NU,116712
2004,NU,118683
2005,NU,120760
2006,NU,122908
2007,NU,122908
2008,NU,127167
2009,NU,129881
2010,NU,133005
2011,NU,136181
2012,NU,138470
2013,NU,140816
2014,NU,143450
2015,NU,145583
2016,NU,147547
2017,NU,150162
2018,NU,152615
2019,NU,155070
2020,NU,157207
2021,NU,159944
2022,NU,161679
